"ID","Type","Name","Documentation","Specialization"
"id-9b4168c2e16b4abc816a96e0370f4629","BusinessObject","Concept of operations (ConOps)","At the organization level, addresses the leadership’s intended way of operating the organization (ISO/IEC/IEEE 29148, 2018).",""
"id-5be7e85db9a14933add51edeeeafa32d","BusinessObject","Configuration baseline","Configuration information formally designated at a specific time during the life of a product, product component, service, or service component. (Adapted from ISO/IEC/IEEE 24765, 2017).
",""
"id-b46814b90812492f85d76c3011de99cf","BusinessObject","Configuration management records/artifacts","Permanent, readable form of data, information, or knowledge related to configuration management.
",""
"id-38af16de7e8d495fad1c2457ac770263","BusinessObject","Configuration management report","An account prepared for interested parties in order to communicate the status, results, and outcomes of the configuration management activities.
",""
"id-cbba009d753e47d1b7a7c8fc74784981","BusinessObject","Configuration management system","System used to support and enable configuration management.",""
"id-e3d8367b0a6d4edb9c9b1c89d33973b1","BusinessObject","Configuration managemnt strategy/approach","Approaches, schedules, resources, and specific considerations required to perform configuration management.",""
"id-22a9a5060a5e48cfb88ac007b04651b0","BusinessObject","Configuration managment records/artifacts","",""
"id-5c055b4173e44dd082da1766f349ef39","BusinessObject","Configuration verification and audit report","Provides results of configuration management verifications and audits to ensure adequate traceability, control, and visibility. It includes evaluation criteria.
",""
"id-c364744869d146318db3ddfd92f6773c","BusinessObject","Constraints on solution","Externally imposed limitation on the system, its design, or implementation or on the process used to develop or modify a system. (ISO/IEC/IEEE 29148, 2018).
",""
"id-3e857e3ea916419382d5f7b7e831f55b","BusinessObject","Critical performance measurement data","Data provided for the identified system-of-interest measurement needs.",""
"id-0ff782b7b254452cb14d7eca2677c8df","BusinessObject","Critical performance measurement needs","Identified information needs of the decision makers with respect to system-of-interest expectations.
",""
"id-41ca205ed1a8458795565c3387762ace","BusinessObject","Customer satisfaction inputs","Responses to customer satisfaction surveys or other instruments.",""
"id-b9d11a0a957d42c297ec98a6c60385ce","BusinessObject","Decision management records/artifacts","An account prepared for interested parties in order to communicate the status, results, and outcomes of the decision management activities.

INCOSE Systems Engineering Handbook, John Wiley & Sons, Incorporated, 2023. ProQuest Ebook Central
",""
"id-20551c025d9b40dea08ed1754a048ffc","BusinessObject","Decision management report","An account prepared for interested parties in order to communicate the status, results, and outcomes of the decision management activities.

INCOSE Systems Engineering Handbook, John Wiley & Sons, Incorporated, 2023. ProQuest Ebook Central, http://ebookcentral.proquest.com/lib/bosch/detail.action?docID=7260875.
",""
"id-1307704b656146d6a43361f251a8df87","BusinessObject","Decision management strategy/approach","Approaches, schedules, resources, and specific considerations required to perform decision management.",""
"id-234f2afb68a844d6873e4834a0fb056c","BusinessObject","Decision register","A repository that supports the availability for use and communication of all relevant decision information in a timely, complete, valid, and, if required, confidential manner.",""
"id-0e427a724d354b8a838351b56d8ddc4a","BusinessObject","Decision situations","Decisions that arise from any stakeholder. Can originate from any life cycle process.
",""
"id-868a51d79c66458d960be94b1035ac29","BusinessObject","Design definition records/artifacts","Permanent, readable form of data, information, or knowledge related to design definition.
",""
"id-64f786456d2b49b1b67224fcc713754d","BusinessObject","Design definition report","An account prepared for interested parties in order to communicate the status, results, and outcomes of the design definition activities.",""
"id-1b318c0a9fd74b6e93d0b6d3db53c128","BusinessObject","Design definition strategy/approach","Approaches, schedules, resources, and specific considerations required to perform design definition.
",""
"id-cfc873a0f6344185b01ad59523216493","BusinessObject","Disposal procedure","Presents an ordered series of steps to perform disposal.
",""
"id-5054239f166046d3bf27777d80c1e2a0","BusinessObject","Disposal records/artifacts","Permanent, readable form of data, information, or knowledge related to disposal.
",""
"id-98d36d72decb4ccd8824b157e56b89f5","BusinessObject","Disposal report","An account prepared for interested parties in order to communicate the status, results, and outcomes of the disposal activities.
",""
"id-fb261bcdfea0403b9be1b001c9f5024d","BusinessObject","Disposal strategy/approach","Approaches, schedules, resources, and specific considerations required to perform disposal.
",""
"id-8cc6660c6cfb4422997784e787cf255e","BusinessObject","Disposed system","System (product or service) that has been deactivated, disassembled, and removed from operations and been properly disposed.
",""
"id-fd2accbdd6444e72945937d2eb5dbf40","BusinessObject","Enabling systems","External systems that facilitate the life cycle activities of the SoI but are not a direct element of the operational environment.
",""
"id-b92111ab22954f389f66a540cf851352","BusinessObject","Human resource management records/artifacts","Permanent, readable form of data, information, or knowledge related to human resource management.
",""
"id-16031e49abb249609f13156d7d6312a7","BusinessObject","Human resource management report","An account prepared for interested parties in order to communicate the status, results, and outcomes of the human resource management activities.
",""
"id-78a45ba4abd6438a9e9a4b29c9ec7927","BusinessObject","Human resource management strategy/approach","Approaches, schedules, resources, and specific considerations required to perform human resource management.",""
"id-cac3fa558fa44cb89cced1a87eab724f","BusinessObject","Implementation records/artifacts","Permanent, readable form of data, information, or knowledge related to implementation.",""
"id-4b026f471cf846519b6d9bc956ac9320","BusinessObject","Implementation report","An account prepared for interested parties in order to communicate the status, results, and outcomes of the implementation activities.",""
"id-a09dae276e7d423d87c821b11f8c5252","BusinessObject","Implementation strategy/approach","Approaches, schedules, resources, and specific considerations required to perform implementation.",""
"id-65d68f4d1ad04a1fb6509bed0f51f721","BusinessObject","Information management records/artifacts","Permanent, readable form of data, information, or knowledge related to information management.",""
"id-a95cda47e3a44fee9bbfc6666e8092b8","BusinessObject","Information management report","An account prepared for interested parties in order to communicate the status, results, and outcomes of the information management activities.
",""
"id-c61de39abd604ad1833a632aac6fc030","BusinessObject","Information management strategy/approach","Approaches, schedules, resources, and specific considerations required to perform information management.
",""
"id-31033d50c3d34ac2b3d3d7ba5ffa64d5","BusinessObject","Information register","A repository that supports the availability for use and communication of all relevant project information artifacts in a timely, complete, valid, and, if required, restricted manner.
",""
"id-8895806247d2424ea151b98d2d4cb812","BusinessObject","Infrastructure management records/artifacts","Permanent, readable form of data, information, or knowledge related to infrastructure management.
",""
"id-97226da0c82b4a7b9489a4eba0c7fd54","BusinessObject","Infrastructure management report","An account prepared for interested parties in order to communicate the status, results, and outcomes of the infrastructure management activities.",""
"id-b5a27d6dc2b842c790a2f982f97c19da","BusinessObject","Infrastructure management strategy/approach","Approaches, schedules, resources, and specific considerations required to perform infrastructure management.",""
"id-0eb98ef80f9e488394ff0fdf96d8451d","BusinessObject","Installation procedure","Presents an ordered series of steps to perform transition.",""
"id-d873ba656fa847c6a5a81a7f298e0a66","BusinessObject","Installed system","System (product or service) that has been installed in its operational environment.",""
"id-5a5ece49f6784b088ff73df8e0376d44","BusinessObject","Integrated system or system element","System or system element (product or service) that has been aggregated from system elements.",""
"id-30b3681b1a1e4dbfb5a86858c6481bde","BusinessObject"," Integration procedure ","Presents an ordered series of steps to perform integration.",""
"id-e1fe3dc2d555412ba2cc596fad5c6496","BusinessObject"," Integration records/artifacts","Permanent, readable form of data, information, or knowledge related to integration.",""
"id-5cb5755ab9ce478bb661b1793e09acff","BusinessObject"," Integration report","An account prepared for interested parties in order to communicate the status, results, and outcomes of the integration activities.",""
"id-c6cec0418b5e4769b6cb7133c072080a","BusinessObject","Integration strategy/approach","Approaches, schedules, resources, and specific considerations required to perform integration.",""
"id-dcc238ce62f7435697bb9ee88258e61e","BusinessObject","Knowledge management records/artifacts","Permanent, readable form of data, information, or knowledge related to knowledge management.",""
"id-fcfb32eb47ee4599bc3cd6349b76c89c","BusinessObject","Knowledge management report","An account prepared for interested parties in order to communicate the status, results, and outcomes of the knowledge management activities.
",""
"id-9ad12b8cf1b648dcaafde58d2d935d83","BusinessObject","Knowledge management strategy/approach","Approaches, schedules, resources, and specific considerations required to perform knowledge management.",""
"id-33ba894e87794e4da5c9706bd0ad11d4","BusinessObject","Knowledge management system","System used to support and enable knowledge management.",""
"id-1f715c50add34dd48f6e85b5abc5864f","BusinessObject","Life cycle concepts","Articulation and refinement of the various life cycle concepts consistent with the stakeholder needs. Typical concepts include: acquisition concept; deployment concept; operational concept (OpsCon); support concept; retirement conce",""
"id-3f88c331955747f9a82ad23ff4823692","BusinessObject","Life cycle model management records/artifacts","


Permanent, readable form of data, information, or knowledge related to life cycle model management.",""
"id-e7476091c189486a9ed270dab3dcbb58","BusinessObject","Life cycle model management report","An account prepared for interested parties in order to communicate the status, results, and outcomes of the life cycle model management activities.
",""
"id-b79bfd2993c646f589c1b62504e1109d","BusinessObject","Life cycle model management strategy/approach","Approaches, schedules, resources, and specific considerations required to perform life cycle model management.",""
"id-b03f7dcffd964a4c88b609cc6466ea8f","BusinessObject","Life cycle models ","Framework of processes and activities concerned with the life cycle that can be organized into stages, acting as a common reference for communication and understanding. (ISO/IEC/IEEE 15288, 2023)",""
"id-55b41f0ab7d5436a846d2225fb64addf","BusinessObject","Maintained and sustained system","System (product or service) that has been maintained for use in its operational environment.",""
"id-60137e839fa942529c30d0b3f8f03b63","BusinessObject","Maintenance and logistics procedure","
Presents an ordered series of steps to perform maintenance.",""
"id-02c602184778430fb3209c98eace2d03","BusinessObject","Maintenance and logistics records/artifacts","
Permanent, readable form of data, information, or knowledge related to maintenance.",""
"id-29923888b87142128ac3305619519112","BusinessObject","Maintenance and logistics report","
An account prepared for interested parties in order to communicate the status, results, and outcomes of the maintenance activities.",""
"id-bd636961b6924f56905cf7ef86b3d91f","BusinessObject","Maintenance and logistics strategy/approach","
Approaches, schedules, resources, and specific considerations required to perform maintenance.",""
"id-f218e2da4eec449d80a30fbb3a717d44","BusinessObject","Measurement data","
Measurement data from all applicable life cycle processes, including: critical performance measurement data, organizational measurement data, and project measurement data.
",""
"id-ae2b6ad911d341aebb56a139588a913e","BusinessObject","Measurement needs","
Measurement needs from all applicable life cycle processes, including: critical performance measurement needs, organizational measurement needs, and project measurement needs.

",""
"id-5d507ae55b674c8dafc42d2eae81d495","BusinessObject","Measurement records/artifacts","Permanent, readable form of data, information, or knowledge related to measurement.",""
"id-2fdaf6b8776f40bf9deb2989735e4f8c","BusinessObject","Measurement register","
A repository that supports the availability for use and communication of all relevant measures in a timely, complete, valid, and, if required, confidential manner.
",""
"id-69017c275fd342abb566ce5eaf22325e","BusinessObject","Measurement report","
An account prepared for interested parties in order to communicate the status, results, and outcomes of the measurement activities.
",""
"id-4a13ebf2f8af49b780736701d72e8d23","BusinessObject","Measurement strategy/approach","
Approaches, schedules, resources, and specific considerations required to perform measurement.",""
"id-d96ba93b1cee44988a4708daa49e432b","BusinessObject","Operation procedure","
Presents an ordered series of steps to perform operation.",""
"id-42f142d16f9d4cb3939a0f14be62ef13","BusinessObject","Operation records/artifacts","
Permanent, readable form of data, information, or knowledge related to operation.",""
"id-20eb54aa48c24a558801c56ff9d271de","BusinessObject","Operation report","
An account prepared for interested parties in order to communicate the status, results, and outcomes of the operation activities.
",""
"id-dc64f214789e4470a7adcc47d574667c","BusinessObject","Operation strategy/approach","
Approaches, schedules, resources, and specific considerations required to perform operation.
",""
"id-10e2e0c2bb694e7e89736cfb3a1dfd46","BusinessObject","Operational system","
System (product or service) being used in its operational environment.",""
"id-3743a6400ccf4252baed7d15288f7395","BusinessObject","Organization infrastructure","Resources, facilities, personnel, and/or services that support the organization.",""
"id-857a6df88cff460f9468418f701f33a0","BusinessObject","Organization infrastructure needs","
Identified organizational infrastructure needs.",""
"id-df600d44506142ed9852a9d3238f5b5e","BusinessObject","Organization lessons learned","
Organizational-related lessons learned. Results from an evaluation or observation of an implemented corrective action that contributed to improved performance or increased capability. A lesson learned also results from an evaluation or observation of a positive finding that did not necessarily require corrective action other than sustainment.
",""
"id-09423f9f72b34108b89b821591c06a3e","BusinessObject","Organization policies","
High-level direction at the organizational level consistent with the organization’s strategies. (Adapted from ISO/IEC/IEEE 15289, 2019)
",""
"id-b45d59277464441f9f56b974071e1cce","BusinessObject","Organization portfolio direction and constraints","
Organization direction and constraints related to the project portfolio.",""
"id-b487a75c640244a2bc62170c491e6468","BusinessObject","Organization procedures","
Presents an ordered series of steps to perform a process, activity, or task for an organization. (Adapted from ISO/IEC/IEEE 15289, 2019)
",""
"id-b4bd4ccf737b4933a5f68ee1bfa5a52d","BusinessObject","Organization processes","
Set of interrelated or interacting activities that transform inputs into outputs for an organization. (Adapted from ISO/IEC/IEEE 15288, 2023)
",""
"id-fa929da541f64a23a52b300f88176373","BusinessObject","Organization reports","
Reports from all applicable organization life cycle processes, including: life cycle model management report, infrastructure management report, portfolio management report, human resource management report, quality management report, and knowledge management report.
",""
"id-25dab47c068a403b85ee2c3b2ae3899d","BusinessObject","Organization strategic plan","
The overall organization strategy, including the business mission or vision and strategic goals and objectives.
",""
"id-8023689c6ec34d45bb479e5d10791e58","BusinessObject","Organization strategies/approaches","
Strategies/approaches for all applicable organization life processes, including: life cycle model management strategy/approach, infrastructure management strategy/approach, portfolio management strategy/approach, human resource management strategy/approach, quality management strategy/approach, and knowledge management strategy/approach.
",""
"id-1d360354ffc74ea0a00ff3c48a930a3f","BusinessObject","Organization tailoring strategy/approach","Organization’s specific strategy and approach to tailoring required to incorporate new or updated external standards.",""
"id-ed884a159cc3431d831680bf357572e8","BusinessObject","Organizational measurement data","
Data provided for the identified organizational measurement needs.",""
"id-f3aaf3347f3045bdb471b19a97e1ef6d","BusinessObject","Organizational measurement needs","Identified information needs of the decision makers with respect to organizational expectations.
",""
"id-d29a13e0e0fb4aeea86575c35dc6d411","BusinessObject","Other validated artifacts","
Artifacts that are validated",""
"id-e14508f0e4124e0782dc464b4ed65f2b","BusinessObject","Other verified artifacts","Artifacts that are verified
",""
"id-32616aa7d1d1458cbf7d551227b949fc","BusinessObject","Portfolio management records/artifacts","

Permanent, readable form of data, information, or knowledge related to portfolio management.",""
"id-216e2dce74054334b01de870c3ec2684","BusinessObject","Portfolio management report","

An account prepared for interested parties in order to communicate the status, results, and outcomes of the portfolio management activities.",""
"id-34017589584249dc8937e890b8f447a7","BusinessObject","Portfolio management strategy/approach","
Approaches, schedules, resources, and specific considerations required to perform portfolio management.",""
"id-f981ac603ec949799e7818163925bdd0","BusinessObject","Problem or opportunity statement","Description of the problem or opportunity. Should be derived from the organization strategy and provide enough detail to understand the gap or new capability that is being considered
",""
"id-6e6c602aa28e4c53a59b040cc3388c10","BusinessObject","Problem or opportunity statement","
Description of the problem or opportunity. Should be derived from the organization strategy and provide enough detail to understand the gap or new capability that is being considered
",""
"id-73c577f09d6347a99de832467bc550b0","BusinessObject","Problem or opportuniy statement","",""
"id-a09de1a058fb47c7a0ff78ea03f1eb00","BusinessObject","Project assessment and control records/artifacts","
Permanent, readable form of data, information, or knowledge related to project assessment and control.
",""
"id-9acc5aa107e54631aa81ee9c33bc707e","BusinessObject","Project assessment and control strategy/approach","
Approaches, schedules, resources, and specific considerations required to perform project assessment and control.
",""
"id-6160b83f0c514404b495ec7088fea940","BusinessObject","Project authorization","
Authorization from the organization to proceed per the agreed-to project plan.
",""
"id-c3be2eea07a14fb7b7b9001b43a711c4","BusinessObject","Project authorization request","
Request from the project to the organization to authorize the project.",""
"id-622f11e9fe1d45a98c6607a140b403de","BusinessObject","Project budget","
Estimate of the costs associated with a particular project. Includes labor, infrastructure, acquisition, and enabling system costs along with reserves for risk management.
",""
"id-535be19768424cd5b2f2ae21dd063577","BusinessObject","Project constraints","
Externally imposed limitation on the project developing or modifying a system. (ISO/IEC/IEEE 29148, 2018)
",""
"id-10dc72c3ec4d4d8a8002528bbf404dbd","BusinessObject","Project control request","
Project directives based on action required due to deviations from the project plan. If assessments are associated with a decision gate, a decision to proceed or not to proceed, is taken.
",""
"id-be3e5014ad0448e0bdc32582044f83a1","BusinessObject","Project decision gate/review result","
Decision gate and review artifacts that are expected through conduct of the decision gate or technical review and that can be considered elements of exit criteria. (Adapted from ISO/IEC/IEEE 24748–8, 2019)
",""
"id-4169c6fa6c2d48afb227650a0505abd6","BusinessObject","Project direction","
Organizational direction to the project. Includes sustainment of projects meeting objectives and redirection or termination of projects not meeting objectives.
",""
"id-72807c90cb414bfdbb22e1633ebb1fa3","BusinessObject","Project human resource needs","
Identified human resource needs of the project.
",""
"id-dfc463047e1a4ec5b41fb9e7389b0640","BusinessObject","Project infrastructure","
Resources, facilities, personnel, and/or services that support the project.",""
"id-12ba502972b04901892806c60d024af3","BusinessObject","Project infrastructure needs","
Identified infrastructure needs of the project.",""
"id-794eacf0696c436f93c3ea5a52ec479a","BusinessObject","Project lessons learned","
Project-related lessons learned. Results from an evaluation or observation of an implemented corrective action that contributed to improved performance or increased capability. A lesson learned also results from an evaluation or observation of a positive finding that did not necessarily require corrective action other than sustainment.
",""
"id-82bf0c20cec0410b804e432c877c1873","BusinessObject","Project measurement data","
Data provided for the identified project measurement needs.",""
"id-ddbd3915154e42ffb84069ff54b70cea","BusinessObject","Project measurement needs","
Identified information needs of the decision makers with respect to project expectations.
",""
"id-100432dff91d4ff5aa6030141fee6ccb","BusinessObject","Project objectives","
The objectives or goals for the project.",""
"id-49faab91e49b4e7091d0e4c00ea35b76","BusinessObject","Project planning records/artifacts","
Permanent, readable form of data, information, or knowledge related to project planning.",""
"id-7205cee1f17340158150eea23405b82a","BusinessObject","Project portfolio","
Collection of projects that addresses the strategic objectives of the organization. (ISO/IEC/IEEE 12207, 2017)",""
"id-5cbdb4dc3b7943fa8a1011445c1f3504","BusinessObject","Project procedures","
Procedures from all applicable life cycle processes, including: integration procedure, verification procedure, installation procedure, validation procedure, operation procedure, maintenance and logistics procedure, and disposal procedure.
",""
"id-c01a1f1b35c24c788368f5668dfe2347","BusinessObject","Project reports","
Reports from all applicable project life cycle processes, including: acquisition report, supply report, decision management report, risk management report, configuration management report, configuration verification and audit report, information management report, measurement report, quality assurance report, quality assurance evaluation report, business or mission analysis report, stakeholder needs and requirements definition report, system requirements definition report, system architecture definition report, system architecture assessment report, design definition report, system design assessment report, system analysis report, implementation report, integration report, verification report, transition report, validation report, operation report, maintenance and logistics report, and disposal report.
",""
"id-45ba588dbf2d41c19572901b15249833","BusinessObject","Project schedule","
A linked list of a project’s milestones, activities, and deliverables with intended start and finish dates May include a top-level milestone schedule and multiple levels (also called tiers) of schedules of increasing detail and task descriptions with completion criteria and work authorizations.
",""
"id-fb1e454c2e894a378ed97b37eb70ac3f","BusinessObject","Project status report/dashboard","
Provides results of monitoring the execution of the defined plan or processes for internal or external distribution. It includes a summary of decisions, monitoring results, action items, process or performance data, and recorded process improvements. It assesses the degree of adherence to the plans. (Adapted from ISO/IEC/IEEE 15289, 2019)
",""
"id-6e705b094e9b460e8f04955b04627909","BusinessObject"," Project strategies/approaches","",""
"id-39a00976014e4411ae103a4da848a66c","BusinessObject","Project strategies/approaches","
Strategies/approaches for all applicable project life processes, including: acquisition strategy/approach, supply strategy & approach, project assessment and control strategy/approach, decision management strategy/approach, risk management strategy/approach, configuration management strategy/approach, information management strategy/approach, measurement strategy/approach, quality assurance strategy/approach, business or mission analysis strategy/approach, stakeholder needs and requirements definition strategy/approach, system requirements definition strategy/approach, system architecture definition strategy/approach, design definition strategy/approach, system analysis strategy/approach, implementation strategy/approach, integration strategy/approach, verification strategy/approach, transition strategy/approach, validation strategy/approach, operation strategy/approach, maintenance and logistics strategy/approach, and disposal strategy/approach.
",""
"id-3b29ee2dd8e44653b73a95703593607f","BusinessObject","Project tailoring strategy/approach","
Project’s specific strategy and approach to tailoring required to incorporate new or updated life cycle models.
",""
"id-9c11d47b951544f7934ffec1074892a4","BusinessObject","Qualified personnel","
Individuals equipped to perform duties on behalf of the organization, including officers, employees, and contractors. (Adapted from ISO/IEC/IEEE 24765, 2017)
",""
"id-2adbd712dbdd4e41ae519ad04ae3c1f1","BusinessObject","Quality assurance corrective action","
Action to eliminate the cause or reduce the likelihood of recurrence of a detected project nonconformity or other undesirable situation. (Adapted from ISO/IEC 19770–1, 2017)
",""
"id-5b4f07e6383540dbbfb03dec1d8cde21","BusinessObject","Quality assurance evaluation report","
Provides results of quality assurance evaluations. It includes evaluation criteria. (Adapted from ISO/IEC/IEEE 15289, 2019)
",""
"id-439ae8d3421749379d357f53d5fb6105","BusinessObject","Quality assurance records/artifacts","
Permanent, readable form of data, information, or knowledge related to quality assurance.",""
"id-c271789d9e8a480aa5b04053e0c88c69","BusinessObject","Quality assurance report","
An account prepared for interested parties in order to communicate the status, results, and outcomes of the quality assurance activities.
",""
"id-f0b21ed7f0a94213b1f672fec6daca5d","BusinessObject","Quality assurance strategy/approach","
Approaches, schedules, resources, and specific considerations required to perform quality assurance.",""
"id-272121b5009a4a4e9d9b74fd4cc3c789","BusinessObject","Quality assurance system","
System used to support and enable quality assurance.",""
"id-4fed58ab78da4b6eaccc86d428e95241","BusinessObject","Quality management corrective action","
Action to eliminate the cause or reduce the likelihood of recurrence of a detected organizational nonconformity or other undesirable situation. (Adapted from ISO/IEC 19770–1, 2017)
",""
"id-836872682dcd4f36bc59b8e8b02e7a56","BusinessObject","Quality management criteria and methods","
Rules on which a judgment or decision can be based, or by which an organization can be evaluated. (Adapted from ISO/IEC/IEEE 15289, 2019)
",""
"id-915418d44af24a3da36171d084f31eaa","BusinessObject","Quality management evaluation report","
Provides results of quality management evaluations. It includes evaluation criteria. (Adapted from ISO/IEC/IEEE 15289, 2019)
",""
"id-a738dbebbe164d4fa6e99c6468816883","BusinessObject","Quality management records/artifacts","
Permanent, readable form of data, information, or knowledge related to quality management.",""
"id-08d68149321e4644a4a0c56705bd5cf4","BusinessObject","Quality management report","
An account prepared for interested parties in order to communicate the status, results, and outcomes of the quality management activities.",""
"id-10aa54c21d334e189db100dabdafafc1","BusinessObject","Quality management strategy/approach","
Approaches, schedules, resources, and specific considerations required to perform quality management",""
"id-3cd4c1de419c4ff0a23719e70daa8966","BusinessObject","Quality management system","
System used to support and enable quality management.
",""
"id-654ab0aed7a647afb9016063e8fd9ad4","BusinessObject","Records/artifacts","
Records from all applicable life cycle processes, including: acquisition records/artifacts, supply records/artifacts, life cycle model management records/artifacts, infrastructure management records/artifacts, portfolio management records/artifacts, human resource management records/artifacts, quality management records/artifacts, knowledge management records/artifacts, project planning records/artifacts, project assessment and control records/artifacts, decision management records/artifacts, risk management records/artifacts, configuration management records/artifacts, information management records/artifacts, measurement records/artifacts, quality assurance records/artifacts, business or mission analysis records/artifacts, stakeholder needs and requirements definition records/artifacts, system requirements definition records/artifacts, system architecture definition records/artifacts, design definition records/artifacts, system analysis records/artifacts, implementation records/artifacts, integration records/artifacts, verification records/artifacts, transition records/artifacts, validation records/artifacts, operation records/artifacts, maintenance and logistics records/artifacts, disposal records/artifacts, tailoring records/artifacts.
",""
"id-ec31359a19064b88a09bef505f2c7afc","BusinessObject","Request for supply","
Acquirer’s request for information and commitments needed from the supplier that are required to be included in the potential supplier’s proposal. It announces the acquirer’s intention to potential bidders to acquire a specified system or system element (product or service). (Adapted from ISO/IEC/IEEE 15289, 2019)
",""
"id-53f9cebd8dc44bb0acfd1401a22300a8","BusinessObject","Requirements imposed on enabling systems","
Identified requirements for enabling systems of the system-of-interest.
",""
"id-4a92f012e31b4eeeba27f2410c9dfdfe","BusinessObject","Reused system or system element","
System or system element (product or service) reused by an organization consistent with its system element requirements.
",""
"id-c64ff46ca314402695f7f53fd1faa030","BusinessObject","Risk management records/artifacts","
Permanent, readable form of data, information, or knowledge related to risk management.",""
"id-00fbee220f364657ba6bf0723b651c86","BusinessObject","Risk management report","
An account prepared for interested parties in order to communicate the status, results, and outcomes of the risk management activities.
",""
"id-c8249c531538429fb4fa5f17efe0e93b","BusinessObject","Risk management strategy/approach","
Approaches, schedules, resources, and specific considerations required to perform risk management.
",""
"id-16a8b352d7f74ff18f1bbc8ce4dcaa5d","BusinessObject","Risk register","
A repository that supports the availability for use and communication of all relevant risk information in a timely, complete, valid, and, if required, confidential manner.
",""
"id-736a748d59664da09c8160528e8c758d","BusinessObject","Source documents","
External documents relevant to the particular stage of the system of interest.
",""
"id-d360311ec0d147c480a0ace2f1d2d3c3","BusinessObject","Stakeholder identification","
List of individuals or organizations having a right, share, claim, or interest in a system or in its possession of characteristics that meet their needs and expectations. (Adapted from ISO/IEC/IEEE 15288, 2023)
",""
"id-13b2503160714349bb822b9a4f8eadc6","BusinessObject","Stakeholder needs and requirements","
Structured collection of the requirements [characteristics, context, concepts, constraints and priorities] of the stakeholder and the relationship to the external environment. (ISO/IEC/IEEE 29148, 2018)
",""
"id-39fce091b2aa4961821491be12ac6005","BusinessObject","Stakeholder needs and requirements definition records/artifacts","
Permanent, readable form of data, information, or knowledge related to stakeholder needs and requirements definition.
",""
